Window_Size,Hidden_Layer_Size,Epoch,Loss
1,200,0,7805.944824
1,200,1,5038.714844
1,200,2,4697.607422
1,200,3,4571.836914
1,200,4,4525.359375
1,200,5,4492.324707
1,200,6,4465.589844
1,200,7,4446.840332
1,200,8,4434.572266
1,200,9,4440.044434
1,200,10,4438.245117
1,200,11,4434.583008
1,200,12,4426.855957
1,200,13,4422.239746
1,200,14,4421.098633
1,200,15,4418.124512
1,200,16,4415.992676
1,200,17,4418.489746
1,200,18,4420.187988
1,200,19,4416.881836
1,200,20,4420.53418
1,200,21,4423.095703
1,200,22,4420.815918
1,200,23,4419.232422
1,200,24,4416.666504
1,200,25,4414.228027
1,200,26,4414.910645
1,200,27,4413.035156
1,200,28,4414.870605
1,200,29,4418.817383
1,200,30,4421.358398
1,200,31,4420.848633
1,200,32,4420.087402
1,200,33,4428.254883
1,200,34,4428.199707
1,200,35,4427.621094
1,200,36,4431.327637
1,200,37,4433.783203
1,200,38,4429.019043
1,200,39,4427.938477
1,200,40,4425.861328
1,200,41,4432.029297
1,200,42,4431.65918
1,200,43,4433.916016
1,200,44,4437.19043
1,200,45,4442.459961
1,200,46,4439.645996
1,200,47,4441.016113
1,200,48,4439.878906
1,200,49,4437.793945
1,200,50,4438.704102
1,200,51,4440.331543
1,200,52,4437.679688
1,200,53,4438.008789
1,200,54,4434.822266
1,200,55,4430.456055
1,200,56,4427.973145
1,200,57,4429.50293
1,200,58,4428.938965
1,200,59,4439.844727
1,200,60,4436.005859
1,200,61,4440.31543
1,200,62,4435.884277
1,200,63,4437.70459
1,200,64,4430.134766
1,200,65,4430.807129
1,200,66,4436.018555
1,200,67,4438.608398
1,200,68,4444.399414
1,200,69,4450.055664
1,200,70,4449.241699
1,200,71,4449.241211
1,200,72,4446.544434
1,200,73,4435.63916
1,200,74,4429.348633
1,200,75,4437.206055
1,200,76,4447.14209
1,200,77,4443.418945
1,200,78,4446.761719
1,200,79,4439.277344
1,200,80,4436.754883
1,200,81,4435.624512
1,200,82,4430.497559
1,200,83,4430.48877
1,200,84,4434.034668
1,200,85,4435.885254
1,200,86,4428.237793
1,200,87,4432.103027
1,200,88,4441.391602
1,200,89,4433.90625
1,200,90,4430.895508
1,200,91,4427.516113
1,200,92,4417.299805
1,200,93,4415.117676
1,200,94,4416.689941
1,200,95,4409.187012
1,200,96,4411.538574
1,200,97,4409.302734
1,200,98,4400.876953
1,200,99,4398.286621
1,200,100,4404.700684
1,200,101,4402.51123
1,200,102,4412.153809
1,200,103,4418.382324
1,200,104,4411.397461
1,200,105,4403.728516
1,200,106,4393.338379
1,200,107,4387.013184
1,200,108,4384.011719
1,200,109,4394.882324
1,200,110,4383.69873
1,200,111,4380.256348
1,200,112,4373.645508
1,200,113,4372.012695
1,200,114,4383.24707
1,200,115,4398.83252
1,200,116,4406.743652
1,200,117,4399.897949
1,200,118,4391.291016
1,200,119,4385.333984
1,200,120,4393.93457
1,200,121,4392.966309
1,200,122,4387.037109
1,200,123,4394.207031
1,200,124,4395.555664
1,200,125,4383.838867
1,200,126,4391.758301
1,200,127,4392.391113
1,200,128,4377.529785
1,200,129,4382.950684
1,200,130,4365.916992
1,200,131,4369.350098
1,200,132,4395.765625
1,200,133,4407.216309
1,200,134,4410.147949
1,200,135,4408.345703
1,200,136,4405.34375
1,200,137,4415.240723
1,200,138,4410.38623
1,200,139,4407.125488
1,200,140,4399.798828
1,200,141,4411.961914
1,200,142,4405.932617
1,200,143,4404.996582
1,200,144,4420.363281
1,200,145,4412.708984
1,200,146,4404.641602
1,200,147,4397.710449
1,200,148,4395.428711
1,200,149,4413.666016
1,200,150,4406.841309
1,200,151,4404.896973
1,200,152,4403.027344
1,200,153,4392.325684
1,200,154,4379.947266
1,200,155,4374.343262
1,200,156,4399.172363
1,200,157,4393.956055
1,200,158,4405.246094
1,200,159,4383.125488
1,200,160,4383.589355
1,200,161,4382.751953
1,200,162,4376.653809
1,200,163,4381.334473
1,200,164,4379.033691
1,200,165,4384.531738
1,200,166,4366.363281
1,200,167,4363.062988
1,200,168,4363.013184
1,200,169,4357.974121
1,200,170,4356.794434
1,200,171,4356.755371
1,200,172,4351.771484
1,200,173,4347.367188
1,200,174,4346.080566
1,200,175,4345.590332
1,200,176,4345.750977
1,200,177,4347.249023
1,200,178,4348.915039
1,200,179,4346.835938
1,200,180,4345.153809
1,200,181,4343.540039
1,200,182,4342.24707
1,200,183,4334.263184
1,200,184,4334.796875
1,200,185,4340.003418
1,200,186,4342.295898
1,200,187,4326.845703
1,200,188,4335.290039
1,200,189,4321.514648
1,200,190,4325.969238
1,200,191,4317.558105
1,200,192,4332.29541
1,200,193,4321.835938
1,200,194,4315.824707
1,200,195,4322.521484
1,200,196,4320.685059
1,200,197,4314.479492
1,200,198,4316.535156
1,200,199,4307.39502
1,200,200,4322.374512
1,200,201,4315.949707
1,200,202,4313.880859
1,200,203,4306.269531
1,200,204,4307.716309
1,200,205,4312.215332
1,200,206,4309.446777
1,200,207,4330.62207
1,200,208,4340.262695
1,200,209,4337.749023
1,200,210,4339.266113
1,200,211,4344.258301
1,200,212,4320.254883
1,200,213,4334.175293
1,200,214,4323.781738
1,200,215,4317.757324
1,200,216,4325.676758
1,200,217,4329.643066
1,200,218,4315.130859
1,200,219,4324.47168
1,200,220,4317.349121
1,200,221,4316.866211
1,200,222,4316.197754
1,200,223,4339.473633
1,200,224,4342.117676
1,200,225,4334.861328
1,200,226,4324.474609
1,200,227,4327.039063
1,200,228,4337.672363
1,200,229,4357.303223
1,200,230,4351.055664
1,200,231,4339.367188
1,200,232,4341.364746
1,200,233,4334.87207
1,200,234,4346.429199
1,200,235,4329.223145
1,200,236,4340.335449
1,200,237,4336.124512
1,200,238,4334.151855
1,200,239,4330.216309
1,200,240,4329.326172
1,200,241,4326.688477
1,200,242,4324.088867
1,200,243,4314.619141
1,200,244,4313.272461
1,200,245,4317.424805
1,200,246,4317.474609
